country_region_code,country_region,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
CR,Costa Rica,2/15/2020,5,10,4,2,4,0
CR,Costa Rica,2/16/2020,1,9,-5,1,1,1
CR,Costa Rica,2/17/2020,-1,5,1,2,20,-3
CR,Costa Rica,2/18/2020,-3,3,-1,1,20,-3
CR,Costa Rica,2/19/2020,-4,-1,0,0,19,-2
CR,Costa Rica,2/20/2020,-5,-1,-2,0,19,-2
CR,Costa Rica,2/21/2020,-5,0,-5,1,21,-2
CR,Costa Rica,2/22/2020,-2,1,-1,-1,4,1
CR,Costa Rica,2/23/2020,-4,2,-1,-2,1,2
CR,Costa Rica,2/24/2020,-5,0,-1,0,22,-2
CR,Costa Rica,2/25/2020,-6,-1,-2,0,20,-2
CR,Costa Rica,2/26/2020,-7,-2,-1,-3,21,-2
CR,Costa Rica,2/27/2020,-5,0,-5,-2,20,-2
CR,Costa Rica,2/28/2020,2,6,-1,2,23,-3
CR,Costa Rica,2/29/2020,4,13,3,4,6,0
CR,Costa Rica,3/1/2020,3,13,0,1,3,1
CR,Costa Rica,3/2/2020,0,9,3,3,23,-3
CR,Costa Rica,3/3/2020,-2,7,1,1,21,-3
CR,Costa Rica,3/4/2020,-4,3,0,-1,21,-3
CR,Costa Rica,3/5/2020,-4,1,-3,-1,20,-2
CR,Costa Rica,3/6/2020,-4,2,-5,-1,22,-2
CR,Costa Rica,3/7/2020,-3,4,-4,-4,5,2
CR,Costa Rica,3/8/2020,-5,4,-8,-7,1,2
CR,Costa Rica,3/9/2020,-7,4,-5,-2,21,-2
CR,Costa Rica,3/10/2020,-9,4,-7,-5,19,-1
CR,Costa Rica,3/11/2020,-12,0,-10,-9,17,0
CR,Costa Rica,3/12/2020,-12,-2,-13,-11,15,2
CR,Costa Rica,3/13/2020,-7,5,-11,-10,16,1
CR,Costa Rica,3/14/2020,-9,8,-12,-13,3,4
CR,Costa Rica,3/15/2020,-20,5,-22,-19,-3,6
CR,Costa Rica,3/16/2020,-16,12,-16,-17,5,3
CR,Costa Rica,3/17/2020,-26,-1,-27,-26,-14,9
CR,Costa Rica,3/18/2020,-34,-13,-33,-33,-18,12
CR,Costa Rica,3/19/2020,-41,-16,-44,-41,-24,16
CR,Costa Rica,3/20/2020,-48,-23,-50,-47,-26,18
CR,Costa Rica,3/21/2020,-57,-31,-60,-55,-27,20
CR,Costa Rica,3/22/2020,-66,-42,-69,-63,-34,20
CR,Costa Rica,3/23/2020,-50,-31,-54,-53,-34,19
CR,Costa Rica,3/24/2020,-53,-35,-58,-56,-38,20
CR,Costa Rica,3/25/2020,-54,-36,-57,-57,-39,21
CR,Costa Rica,3/26/2020,-54,-35,-58,-58,-40,22
CR,Costa Rica,3/27/2020,-53,-29,-56,-57,-38,22
CR,Costa Rica,3/28/2020,-59,-32,-62,-61,-34,22
CR,Costa Rica,3/29/2020,-68,-41,-71,-68,-39,21
CR,Costa Rica,3/30/2020,-47,-28,-53,-56,-39,19
CR,Costa Rica,3/31/2020,-48,-27,-53,-55,-40,19
CR,Costa Rica,4/1/2020,-49,-27,-54,-56,-41,20
CR,Costa Rica,4/2/2020,-47,-22,-54,-55,-42,21
CR,Costa Rica,4/3/2020,-54,-29,-57,-57,-41,23
CR,Costa Rica,4/4/2020,-73,-40,-69,-67,-46,25
CR,Costa Rica,4/5/2020,-74,-41,-74,-70,-43,21
CR,Costa Rica,4/6/2020,-67,-36,-65,-67,-60,25
CR,Costa Rica,4/7/2020,-67,-31,-65,-67,-62,24
CR,Costa Rica,4/8/2020,-79,-50,-75,-81,-72,31
CR,Costa Rica,4/9/2020,-86,-64,-83,-89,-83,37
CR,Costa Rica,4/10/2020,-88,-71,-86,-91,-84,40
CR,Costa Rica,4/11/2020,-84,-62,-82,-85,-67,31
CR,Costa Rica,4/12/2020,-83,-61,-82,-83,-54,25
